,Open,High,Low,Close,Adj Close,Volume,Date
0,37.049999,37.299999,36.650002,36.849998,36.849998,434900.0,2017-07-12T00:00:00
1,36.799999,36.950001,36.349998,36.700001,36.700001,455900.0,2017-07-13T00:00:00
2,36.650002,37.029999,36.400002,36.5,36.5,418600.0,2017-07-14T00:00:00
3,36.400002,37.169998,36.349998,36.799999,36.799999,443500.0,2017-07-17T00:00:00
4,36.799999,37.049999,36.5,36.75,36.75,329200.0,2017-07-18T00:00:00
5,36.849998,37.400002,36.799999,37.099998,37.099998,437800.0,2017-07-19T00:00:00
6,37.099998,38.650002,36.900002,38.299999,38.299999,689700.0,2017-07-20T00:00:00
7,38.549999,38.650002,37.950001,38.0,38.0,315400.0,2017-07-21T00:00:00
8,37.900002,38.349998,37.599998,38.200001,38.200001,332900.0,2017-07-24T00:00:00
9,38.200001,39.049999,37.849998,38.75,38.75,382400.0,2017-07-25T00:00:00
10,38.700001,38.700001,37.98,38.099998,38.099998,278200.0,2017-07-26T00:00:00
11,38.049999,38.200001,37.709999,38.150002,38.150002,412600.0,2017-07-27T00:00:00
12,38.25,38.400002,37.900002,38.299999,38.299999,386800.0,2017-07-28T00:00:00
13,38.299999,38.5,36.849998,36.900002,36.900002,585000.0,2017-07-31T00:00:00
14,37.099998,37.349998,35.799999,36.25,36.25,790300.0,2017-08-01T00:00:00
15,36.299999,36.299999,35.349998,35.549999,35.549999,844400.0,2017-08-02T00:00:00
16,35.599998,37.349998,35.599998,36.099998,36.099998,652400.0,2017-08-03T00:00:00
17,35.799999,36.900002,35.200001,35.950001,35.950001,1120400.0,2017-08-04T00:00:00
18,36.049999,36.900002,35.849998,36.75,36.75,500500.0,2017-08-07T00:00:00
19,36.75,38.200001,36.599998,38.0,38.0,720200.0,2017-08-08T00:00:00
20,37.849998,38.0,37.099998,37.400002,37.400002,525800.0,2017-08-09T00:00:00
21,37.349998,37.549999,36.950001,36.950001,36.950001,362500.0,2017-08-10T00:00:00
22,34.900002,37.099998,34.849998,36.5,36.5,537000.0,2017-08-11T00:00:00
23,36.799999,37.5,36.75,37.349998,37.349998,454400.0,2017-08-14T00:00:00
24,37.349998,37.549999,37.0,37.099998,37.099998,370400.0,2017-08-15T00:00:00
25,37.099998,38.049999,37.099998,37.849998,37.849998,442900.0,2017-08-16T00:00:00
26,37.599998,37.849998,37.299999,37.650002,37.650002,671500.0,2017-08-17T00:00:00
27,37.650002,38.849998,37.330002,38.700001,38.700001,630000.0,2017-08-18T00:00:00
28,38.75,39.25,38.25,39.200001,39.200001,966500.0,2017-08-21T00:00:00
29,39.25,39.299999,37.549999,37.599998,37.599998,613300.0,2017-08-22T00:00:00
30,37.450001,38.299999,37.450001,37.650002,37.650002,278200.0,2017-08-23T00:00:00
31,37.849998,38.0,37.5,37.650002,37.650002,201400.0,2017-08-24T00:00:00
32,37.75,38.049999,37.650002,37.75,37.75,193100.0,2017-08-25T00:00:00
33,37.849998,38.0,37.5,37.700001,37.700001,298800.0,2017-08-28T00:00:00
34,37.450001,37.849998,37.150002,37.799999,37.799999,202200.0,2017-08-29T00:00:00
35,37.700001,37.849998,37.419998,37.599998,37.599998,233000.0,2017-08-30T00:00:00
36,37.799999,37.950001,37.150002,37.349998,37.349998,417100.0,2017-08-31T00:00:00
37,37.450001,37.5,36.950001,37.099998,37.099998,330100.0,2017-09-01T00:00:00
38,37.049999,37.450001,36.950001,37.150002,37.150002,400600.0,2017-09-05T00:00:00
39,37.299999,38.299999,37.099998,38.150002,38.150002,441900.0,2017-09-06T00:00:00
40,38.150002,38.25,37.150002,37.25,37.25,272200.0,2017-09-07T00:00:00
41,37.200001,37.299999,36.900002,37.0,37.0,307400.0,2017-09-08T00:00:00
42,37.400002,38.400002,37.049999,38.25,38.25,351500.0,2017-09-11T00:00:00
43,38.349998,38.5,37.900002,38.450001,38.450001,364300.0,2017-09-12T00:00:00
44,38.400002,38.849998,38.049999,38.599998,38.599998,560600.0,2017-09-13T00:00:00
45,38.549999,38.849998,38.049999,38.799999,38.799999,390600.0,2017-09-14T00:00:00
46,38.799999,39.25,38.450001,39.25,39.25,643800.0,2017-09-15T00:00:00
47,39.200001,39.599998,38.98,39.450001,39.450001,488500.0,2017-09-18T00:00:00
48,39.450001,40.0,38.700001,39.299999,39.299999,990100.0,2017-09-19T00:00:00
49,39.25,40.650002,39.0,40.5,40.5,851500.0,2017-09-20T00:00:00
50,40.5,41.450001,40.150002,40.900002,40.900002,621400.0,2017-09-21T00:00:00
51,40.75,41.200001,40.650002,41.150002,41.150002,443400.0,2017-09-22T00:00:00
52,41.0,41.200001,40.349998,40.599998,40.599998,619000.0,2017-09-25T00:00:00
53,40.75,41.450001,40.5,40.599998,40.599998,648000.0,2017-09-26T00:00:00
54,40.950001,42.849998,40.950001,42.799999,42.799999,977800.0,2017-09-27T00:00:00
55,42.75,45.950001,42.5,45.450001,45.450001,1036400.0,2017-09-28T00:00:00
56,45.299999,45.75,44.049999,45.700001,45.700001,625000.0,2017-09-29T00:00:00
57,45.549999,46.049999,45.029999,45.349998,45.349998,945800.0,2017-10-02T00:00:00
58,45.299999,46.25,45.299999,46.099998,46.099998,700700.0,2017-10-03T00:00:00
59,46.200001,46.599998,44.349998,44.400002,44.400002,563800.0,2017-10-04T00:00:00
60,44.5,44.900002,44.209999,44.900002,44.900002,787600.0,2017-10-05T00:00:00
61,44.849998,45.349998,44.799999,45.049999,45.049999,417700.0,2017-10-06T00:00:00
62,45.049999,45.23,42.349998,42.5,42.5,567900.0,2017-10-09T00:00:00
63,42.799999,43.049999,41.959999,42.099998,42.099998,408400.0,2017-10-10T00:00:00
64,42.0,42.599998,42.0,42.25,42.25,442700.0,2017-10-11T00:00:00
65,42.200001,42.599998,41.549999,41.599998,41.599998,507800.0,2017-10-12T00:00:00
66,41.650002,41.650002,40.849998,41.400002,41.400002,553500.0,2017-10-13T00:00:00
67,41.700001,42.5,41.400002,41.950001,41.950001,437000.0,2017-10-16T00:00:00
68,42.0,42.5,41.740002,41.950001,41.950001,258600.0,2017-10-17T00:00:00
69,42.150002,43.049999,42.02,43.0,43.0,288700.0,2017-10-18T00:00:00
70,43.0,43.299999,42.5,43.25,43.25,300100.0,2017-10-19T00:00:00
71,43.700001,44.0,43.25,43.650002,43.650002,410300.0,2017-10-20T00:00:00
72,43.950001,44.0,43.049999,43.450001,43.450001,252400.0,2017-10-23T00:00:00
73,43.400002,43.599998,42.799999,42.900002,42.900002,428400.0,2017-10-24T00:00:00
74,43.099998,43.650002,42.650002,43.150002,43.150002,435400.0,2017-10-25T00:00:00
75,43.099998,43.400002,42.400002,42.5,42.5,329900.0,2017-10-26T00:00:00
76,42.799999,43.43,42.150002,43.299999,43.299999,719300.0,2017-10-27T00:00:00
77,43.25,43.450001,42.5,43.0,43.0,416700.0,2017-10-30T00:00:00
78,43.150002,44.0,42.799999,43.900002,43.900002,973300.0,2017-10-31T00:00:00
79,44.049999,44.049999,41.830002,42.650002,42.650002,1144600.0,2017-11-01T00:00:00
80,42.700001,42.849998,40.450001,40.650002,40.650002,1162800.0,2017-11-02T00:00:00
81,38.25,41.950001,37.709999,41.099998,41.099998,1053600.0,2017-11-03T00:00:00
82,40.799999,42.650002,40.549999,42.5,42.5,776600.0,2017-11-06T00:00:00
