,Open,High,Low,Close,Adj Close,Volume,Date
0,9.76,9.76,9.76,9.76,9.76,0.0,2017-07-12T00:00:00
1,9.9,9.9,9.01,9.25,9.25,5600.0,2017-07-13T00:00:00
2,9.25,9.25,9.25,9.25,9.25,0.0,2017-07-14T00:00:00
3,9.25,9.25,9.25,9.25,9.25,200.0,2017-07-17T00:00:00
4,9.25,9.25,9.25,9.25,9.25,0.0,2017-07-18T00:00:00
5,9.05,9.15,9.05,9.15,9.15,300.0,2017-07-19T00:00:00
6,9.05,9.05,8.0,8.5,8.5,9300.0,2017-07-20T00:00:00
7,8.95,8.95,8.95,8.95,8.95,100.0,2017-07-21T00:00:00
8,8.95,8.95,8.95,8.95,8.95,0.0,2017-07-24T00:00:00
9,8.95,8.95,8.95,8.95,8.95,0.0,2017-07-25T00:00:00
10,8.95,8.95,8.95,8.95,8.95,0.0,2017-07-26T00:00:00
11,8.95,8.95,8.95,8.95,8.95,0.0,2017-07-27T00:00:00
12,8.95,8.95,8.95,8.95,8.95,0.0,2017-07-28T00:00:00
13,9.1,9.1,9.1,9.1,9.1,200.0,2017-07-31T00:00:00
14,9.0,9.0,9.0,9.0,9.0,100.0,2017-08-01T00:00:00
15,9.2,9.2,9.2,9.2,9.2,900.0,2017-08-02T00:00:00
16,9.0,9.0,9.0,9.0,9.0,100.0,2017-08-03T00:00:00
17,9.0,9.0,9.0,9.0,9.0,0.0,2017-08-04T00:00:00
18,8.8,8.8,8.8,8.8,8.8,100.0,2017-08-07T00:00:00
19,8.8,8.8,8.8,8.8,8.8,0.0,2017-08-08T00:00:00
20,8.8,8.8,8.8,8.8,8.8,0.0,2017-08-09T00:00:00
21,9.0,9.0,9.0,9.0,9.0,300.0,2017-08-10T00:00:00
22,9.0,9.0,9.0,9.0,9.0,100.0,2017-08-11T00:00:00
23,9.0,9.0,9.0,9.0,9.0,0.0,2017-08-14T00:00:00
24,9.0,9.0,9.0,9.0,9.0,0.0,2017-08-15T00:00:00
25,9.0,9.0,9.0,9.0,9.0,0.0,2017-08-16T00:00:00
26,9.1,9.1,9.1,9.1,9.1,100.0,2017-08-17T00:00:00
27,8.8,8.8,8.0,8.0,8.0,1600.0,2017-08-18T00:00:00
28,8.0,8.0,8.0,8.0,8.0,0.0,2017-08-21T00:00:00
29,9.0,9.0,9.0,9.0,9.0,100.0,2017-08-22T00:00:00
30,9.0,9.0,9.0,9.0,9.0,0.0,2017-08-23T00:00:00
31,9.0,9.0,9.0,9.0,9.0,0.0,2017-08-24T00:00:00
32,9.0,9.0,9.0,9.0,9.0,0.0,2017-08-25T00:00:00
33,8.2,9.0,8.2,8.2,8.2,1900.0,2017-08-28T00:00:00
34,8.25,8.25,8.25,8.25,8.25,900.0,2017-08-29T00:00:00
35,8.3,8.3,8.3,8.3,8.3,100.0,2017-08-30T00:00:00
36,8.3,8.3,8.3,8.3,8.3,100.0,2017-08-31T00:00:00
37,8.35,8.35,8.35,8.35,8.35,100.0,2017-09-01T00:00:00
38,8.35,8.35,8.35,8.35,8.35,0.0,2017-09-05T00:00:00
39,8.35,8.35,8.35,8.35,8.35,0.0,2017-09-06T00:00:00
40,8.35,8.35,8.35,8.35,8.35,0.0,2017-09-07T00:00:00
41,8.35,8.35,8.35,8.35,8.35,0.0,2017-09-08T00:00:00
42,8.35,8.35,8.35,8.35,8.35,0.0,2017-09-11T00:00:00
43,8.35,8.35,8.35,8.35,8.35,0.0,2017-09-12T00:00:00
44,8.6,8.6,8.6,8.6,8.6,100.0,2017-09-13T00:00:00
45,8.6,8.6,8.6,8.6,8.6,0.0,2017-09-14T00:00:00
46,8.6,8.6,8.6,8.6,8.6,0.0,2017-09-15T00:00:00
47,8.6,8.6,8.6,8.6,8.6,0.0,2017-09-18T00:00:00
48,8.57,8.57,8.57,8.57,8.57,200.0,2017-09-19T00:00:00
49,8.8,9.5,8.8,9.5,9.5,1100.0,2017-09-20T00:00:00
50,9.7,9.75,9.7,9.75,9.75,1500.0,2017-09-21T00:00:00
51,9.75,9.75,9.75,9.75,9.75,0.0,2017-09-22T00:00:00
52,9.0,9.0,9.0,9.0,9.0,100.0,2017-09-25T00:00:00
53,9.0,9.0,9.0,9.0,9.0,300.0,2017-09-26T00:00:00
54,9.0,9.0,9.0,9.0,9.0,0.0,2017-09-27T00:00:00
55,9.0,9.0,9.0,9.0,9.0,0.0,2017-09-28T00:00:00
56,9.0,9.75,9.0,9.75,9.75,1400.0,2017-09-29T00:00:00
57,9.75,9.75,9.75,9.75,9.75,0.0,2017-10-02T00:00:00
58,9.75,9.75,9.75,9.75,9.75,0.0,2017-10-03T00:00:00
59,9.75,9.75,9.75,9.75,9.75,0.0,2017-10-04T00:00:00
60,9.75,9.75,9.75,9.75,9.75,0.0,2017-10-05T00:00:00
61,9.75,9.75,9.75,9.75,9.75,0.0,2017-10-06T00:00:00
62,9.75,9.75,9.75,9.75,9.75,0.0,2017-10-09T00:00:00
63,9.0,9.0,9.0,9.0,9.0,1000.0,2017-10-10T00:00:00
64,9.0,9.0,9.0,9.0,9.0,300.0,2017-10-11T00:00:00
65,8.01,9.0,8.01,9.0,9.0,2400.0,2017-10-12T00:00:00
66,8.4,8.4,8.01,8.01,8.01,1000.0,2017-10-13T00:00:00
67,8.5,8.5,8.5,8.5,8.5,1500.0,2017-10-16T00:00:00
68,8.01,8.01,8.01,8.01,8.01,600.0,2017-10-17T00:00:00
69,8.4,8.4,8.4,8.4,8.4,200.0,2017-10-18T00:00:00
70,8.4,8.4,8.4,8.4,8.4,0.0,2017-10-19T00:00:00
71,8.01,8.01,8.01,8.01,8.01,500.0,2017-10-20T00:00:00
72,8.01,8.01,8.01,8.01,8.01,700.0,2017-10-23T00:00:00
73,8.5,8.5,8.0,8.0,8.0,1000.0,2017-10-24T00:00:00
74,8.0,8.0,8.0,8.0,8.0,0.0,2017-10-25T00:00:00
75,8.0,8.0,8.0,8.0,8.0,0.0,2017-10-26T00:00:00
76,8.0,8.0,8.0,8.0,8.0,0.0,2017-10-27T00:00:00
